name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Метлина Наталия Борисовна,35,13285,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,True,0,0,1,1,0
Монахов Михаил Игоревич,35,2204,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,5
Рязанов Владимир Викторович,35,3021,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,3
Курганский Сергей Борисович,36,10845,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,1,-1,-1,4
Папета Артём Владимирович,36,1084,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,1,0
Покатаев Алексей Николаевич,36,1308,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,3
Репников Дмитрий Александрович,36,3618,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,5
Рябцева Олеся Александровна,36,2141,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,8
Шарапова Ольга Викторовна,36,10871,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,True,0,0,1,1,0
Губенко Николай Николаевич,37,20621,170972,32023,1035,2411,20.74550218749269,2.9180411063181935,6.797485127858129,True,2,1,0,-1,4
Максимов Юрий Николаевич,37,6751,170972,32023,1035,2411,20.74550218749269,2.9180411063181935,6.797485127858129,False,2,0,-1,-1,5
Романович Александр Леонидович,37,6076,170972,32023,1035,2411,20.74550218749269,2.9180411063181935,6.797485127858129,False,2,0,-1,-1,8
Андрусенко Наталия Юрьевна,38,5179,254738,58759,944,2147,24.279848314739066,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,3
Глек Игорь Владимирович,38,15437,254738,58759,944,2147,24.279848314739066,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,8
Еремина Людмила Александровна,38,9175,254738,58759,944,2147,24.279848314739066,1.5262732417138238,3.471301535974131,False,1,1,-1,-1,4
Козлов Александр Михайлович,38,22021,254738,58759,944,2147,24.279848314739066,1.5262732417138238,3.471301535974131,True,1,0,1,1,0
Смирнов Станислав Александрович,38,6523,254738,58759,944,2147,24.279848314739066,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,5
Безрядов Андрей Валерьевич,39,4483,184190,39424,1075,1987,23.0663988272979,2.5302452572612153,4.676834722026079,False,1,0,-1,-1,8
Бестаев Николай Самсонович,39,4274,184190,39424,1075,1987,23.0663988272979,2.5302452572612153,4.676834722026079,False,1,0,-1,-1,3
Видьманов Александр Олегович,39,11945,184190,39424,1075,1987,23.0663988272979,2.5302452572612153,4.676834722026079,False,1,1,-1,-1,4
Головченко Валерий Владимирович,39,14992,184190,39424,1075,1987,23.0663988272979,2.5302452572612153,4.676834722026079,True,1,0,1,0,0
Митяев Александр Константинович,39,4374,184190,39424,1075,1987,23.0663988272979,2.5302452572612153,4.676834722026079,False,1,0,-1,-1,5
